'.406 Ventures Fund II','.406 Ventures',167.00,7.38,1.57,72.52,84.30,111.97
'.406 Ventures Fund III','.406 Ventures',175.00,20.90,2.13,155.05,57.65,89.20
'1315 Capital','1315 Capital',217.00,8.80,1.12,111.61,0.00,46.00
'1818 Fund II','Brown Brothers Harriman',203.40,10.54,1.19,94.24,24.97,78.10
'1818 Mezzanine Fund II','Brown Brothers Harriman',475.00,11.40,1.81,0.00,180.74,88.50
'1818 SBIC Fund','Brown Brothers Harriman',530.00,-5.90,0.75,0.00,75.25,99.50
'1996 Brinson Partnership Fund Program','Adams Street Partners',250.00,8.93,1.45,0.00,145.00,99.80
'1997 Brinson Partnership Fund Program','Adams Street Partners',377.00,9.64,1.65,0.00,164.71,82.75
'2003 KIF-KTAC IT Fund','AJU IB Investment',100.00,3.40,1.28,0.00,128.02,59.50
'21st Century Communications Partners','Sandler Capital Management',271.10,14.20,1.97,0.42,196.75,97.74
'21st Century Group Equity Fund','21st Century Group',230.50,12.11,1.93,1.19,191.72,97.14
'3i Eurofund V','3i',19.23,35.10,2.70,0.00,270.09,78.06
'3i Growth Capital Fund','3i',250.00,13.50,1.57,0.00,156.76,100.00
'3i India Infrastructure Fund','3i',74.00,-3.75,0.84,0.00,84.16,108.56
'3i Japan Buyouts Fund','3i',95.80,8.40,1.27,0.00,127.20,100.00
'3i UK Investment Partners','3i',204.60,7.00,1.24,99.70,24.20,100.00
'3i UKIP II','3i',9.49,5.30,1.29,0.00,129.00,100.00
'4D Global Energy Development Capital Fund II','4D Global Energy',268.09,11.70,1.40,0.00,140.00,98.40
'4D Global Energy Development Fund','4D Global Energy',386.24,25.17,2.75,0.00,275.41,98.00
'4D Global Energy Investments Fund III','4D Global Energy',718.02,8.10,1.47,0.00,146.60,96.50
'4IP European Real Estate Fund of Funds','4IP Management',2507.00,19.30,2.04,0.00,204.00,90.50
'500 Durians','500 Startups',3653.70,27.00,1.98,0.00,198.00,95.86
'500 Startups I','500 Startups',6598.51,11.90,2.24,72.00,152.00,101.43
'500 Startups II','500 Startups',1635.10,8.70,1.54,6.00,148.00,56.75
'500 Startups Japan I','Coral Capital',1200.00,-13.20,0.39,26.00,13.00,87.00
'57 Stars Global Opportunities Fund 1','57 Stars',174.90,32.77,1.64,0.00,163.80,30.00
'57 Stars Global Opportunities Fund 2 (CalPERS)','57 Stars',633.37,8.10,1.40,0.00,140.00,96.75
'57 Stars Global Opportunity Fund 4','57 Stars',621.74,2.58,1.14,0.00,114.00,95.19
'5AM Ventures Fund I','5AM Ventures',181.20,-18.03,0.14,12.22,1.44,95.26
'5AM Ventures Fund II','5AM Ventures',81.00,24.65,2.21,13.56,207.30,100.00
'5E Holding','Alpha Associates',216.20,13.89,1.88,108.85,78.93,99.77
'747 Hudson','747 Capital',231.07,-1.20,0.91,48.55,42.00,92.70
'747 Hudson II','747 Capital',22.00,20.90,1.77,177.00,0.00,100.00
'AB Value Bridge VI','AB Value Capital Partners',29.60,14.80,2.11,154.00,56.79,100.00
'ABR Chesapeake Fund','Alex. Brown Realty',44.10,15.80,1.70,168.00,2.25,100.00
